,reviews,ratings,dine_in_time
21,"So we are in a pandemic, and I kept this in mind.  we were seated at the back of the restaurant, it was nice and quite.<br/>Our server was very nice, unfortunately we couldnt understand a word she was saying, with or without a mask.  Her entire focus for the first 10 minutes was to upsell, even after we politely responded no.  She delivered cheese rolls with no plates, utensils or napkins..  We had to ask.<br/><br/>We then found out they work in teams, her teammate was Joey Wow, that's right couldn't make that up.  He was great and took over from there.  He was spot on with everything.<br/><br/>As for the food, the market buffet offered a nice variety.  Now for the meats, what Fogo is known for.  They offer 13 different meats, we were offered the following;<br/>cheese 2x, parmesan pork 2x, tenderloin 2x, pork sausage 1x, lamb roast 2x, lamb rib 2x, sirloin 2x and chix wrap in bacon 1x.   No beef ribs, pork ribs, rib eye, no regular chicken or picahna.  When they arrived to the table there were only small slices of meat and very few of them, as they couldnt even serve everyone at the table.  What was happening is they started at the front of the room and worked their way back, which is fine, however those of us sitting in the back got the scraps.  I called over a floor manager and he quickly corrected the issue.<br/><br/>Overall we enjoyed the food and the service, its quite clear that covid has changed the way everyone has to operate.  We will be back, just wanted to share our experience.",3," October 10, 2020"
22,The restaurant is only worth it if you are going to stuff yourself.,3," October 10, 2020"
23,"excellent service, excellent food, over all a great choice !",5," October 9, 2020"
24,"Our waiter Joe-Wow was absolutely amazing. I have never been happier with a server here. My girlfriend and I frequent here often and we came for a friends birthday. I couldn’t have asked for a better waiter for the first time. He was friendly, personable, and very funny. I will specifically be coming back sooner than planned just to visit him.",5," October 5, 2020"
25,The layout doesn’t leave a lot of privacy at your table which is my only complaint. The food was fantastic and the service matched.,4," October 2, 2020"
26,Birthday. Really nice food. Kept coming with more food than we could handle. Steaks were rare,5," October 2, 2020"
27,"They adapted really well to the new really and I felt safe, yet not loosing the experience I was hoping for when coming to a Brazilian steakhouse. In fact I think I prefer the way of serving the meats. Great job!",5," October 2, 2020"
28,Meats didn’t seem fresh. Requested medium on the meats kept getting well done. Only positive is Drinks were really good.,3," September 26, 2020"
29,Don't eat for several days beforehand. Also be sure to confront the,4," September 26, 2020"
30,Anniversary,5," September 25, 2020"
31,It was great 👍,5," September 23, 2020"
32,"Go hungry!  Great experience, wonderful, creative food and the best beef we ever tasted!",5," September 23, 2020"
33,Great! All the servers were nice and professional. The food was outstanding. All the measures in place to make sure the restaurant was clean were taken with extreme care.,5," September 21, 2020"
34,Not my fav place in Boston. Concept is cool and great variety of meets but not cooked the way I would have preferred. It was just ok.,3," September 19, 2020"
35,"So bad service I will never come back here again, their was a nice mangier woman their she good take care of the customer this why I do a business meal here , now so bad stuff and mangier I will not recommend this place anymore",1," September 15, 2020"
36,It was me and my sisters 22nd birthday it was super nice and fun they was super nice and made our night super special for me and my sister highly recommend!!,5," September 14, 2020"
37,"As we entered the restaurant everything thing was good and very organized,it was my girlfriend’s birthday 🎂 they made her feel very special .",5," September 12, 2020"
38,Food was excellent and loved the marketplace. Staff were very attentive and helpful. Liked the option to ala carte dinner such as sea bass.,5," September 12, 2020"
39,"great service, and great quality of meat. The manager was nice to stop by every table and ask our need",5," September 12, 2020"
40,Not the same as before covid19 <br/>They are serving very small portions of foods and there is a long delay between one order and the next one,3," September 7, 2020"
41,"I don't know if I've had a worse experience at a restaurant in the last 10 years. We foolishly came here for our first wedding anniversary and got ripped off for $200 for a couple of pieces of overcooked, cold beef. The waiters kept coming around and around with their cold, well-done steak and it literally took 35 minutes to fulfill our request for medium rare filet mignon, which came in the form of 2 tiny slices each. The waitress, Bruna, spent the entire evening trying to up-sell us to the seafood tower, the shrimp cocktail, anything to add to our bill instead of inform us of what was already included in the $60/person ""experience"" we had signed up for. Fogo de Chao should be ASHAMED of themselves for the pathetic, cold, overcooked offering they call dinner, the prices they charge, and the impersonal and pathetic experience they offer their customers. I'm literally at a loss at how they are even still in business. This is one restaurant I really wish had not survived the pandemic because they do not deserve whatever following they have. Having spent $200 on nothing, here's a photo of them misspelling an anniversary greeting as ""Happy Firth Anniversary."" Thanks so much for ruining our day!",1," September 7, 2020"
42,Amazing date place,5," September 6, 2020"
43,The quality of food was very poor. Service was slow. All out meats came cold to the tabke. Maybe it’s due to Covid-19 new setup but we were very disappointed and will not return for a long time.,1," September 5, 2020"
44,with the new regulation the restaurant lost his appeal on Brazilian BBQ. Understand that this is in force by the state regulation but the quality was affected....<br/>obrigado,4," September 4, 2020"
45,"Different feel, given COVID, but they did a nice job of trying to make it work.  Food always good.  Service always good as well.  Hopefully we will someday be back to the way things used to be.  It made for a better dining experience.",3," September 3, 2020"
46,It was a great experience!,5," August 29, 2020"
47,Food was amazing! Staff was very on point and friendly! Great vibe there,5," August 29, 2020"
48,It just was a not the same as before.,2," August 29, 2020"
49,"Nice job re-adjusting to these circumstances. Each diner going up to the buffet was given wait staff to walk around and serve them. The overall service was very good and the food was as good as ever, including the drinks. I hope they can make it through this time. They are one of our favorite places in Boston.",5," August 29, 2020"
50,Great service and the steak was really good.  Glad we didn’t have to wait for the service,5," August 28, 2020"
51,Was a lovely evening. A little busier than expected but service and food was amazing.,5," August 28, 2020"
52,Went because it was dine out week have been there for the full menu before. I find that the alcohol prices are very high the quality of the food is excellent for the dine out menu it was supposed to include desert and the key lime pie was very very small and skimpy. And my four favorite cuts of meat or Not Included and the special but the food was very good I thought they did a great job with the buffet and handling it but the room that I was in the tables were way too close together they were not 6 feet apart that made me very afraid,3," August 28, 2020"
53,Great hospitality. Food was awesome!,5," August 27, 2020"
54,"For being my first time I will say my friends &amp; I are very pleased at the service we received. The food was delicious and the drinks were fantastic 😉.  We are pleased that this establishment followed Covid guidelines, someone to serve us every step of the way. To have a assortment of foods to choose from was amazing, even on the Dine Out Boston menu we had the full experience. Thank you for great customer service",5," August 27, 2020"
55,Amazing food and service. We had a great experience.,5," August 26, 2020"
56,"This was our first time back to a restaurant since COVID and it was perfect, we will be going back ASAP!",5," August 26, 2020"
57,The experience was great. I have been there a few times and nothings changed. Great service and food. Covid has them doing things a little differently but doesn't take away from the regular experience much.,5," August 24, 2020"
58,My son and I were celebrating our birthdays and it was absolutely fantastic. Our main server Maria was great but then all the other were too. Great service. I can't wait to go back.,5," August 24, 2020"
59,Solid restaurant going strong for many years. Very good adaptation to post Covid world with precautions at the salad bar and several tables kept empty because of social distancing,4," August 22, 2020"
60,"It was a cool experience, however they did not honor the dine out Boston promotion they had so we ended up paying full price. I probably would plan to come back had they let us pay the promotion. <br/><br/>Salad bar was alright 2/5<br/>Meats 4/5<br/>Drinks- none<br/>Cheese bread-5/5<br/>Plantain and yucca-4/5<br/>Service-3/5<br/><br/>Our main waitress was very attentive and courteous however the waiters with meats were no where to be found for 20 minutes. Found it weird they would look at our table and see we had nothing on our plates but would just pass us. Overall it’s an experience you can cross off your list but probably won’t go there again.",3," August 22, 2020"
61,It is unfortunate but the quality of the meet is not what used to be. Don’t know if because of the COVID situation but very slow service and poor quality.,3," August 21, 2020"
62,"Love it, even with the COVID regulations!!! I need more bacon in my life!",5," August 20, 2020"
63,Birthday celebration. We had a good time. Food was delicious. Customer service was definitely a 5 star!!!,5," August 20, 2020"
64,Food was amazing! A must try! Service was so friendly and accommodating!,5," August 20, 2020"
65,"IMO, Fogo should not be open as they physically cannot provide the true experience during a pandemic. Certain foods were not available, and in addition to having meat brought to your table- EVERYTHING was brought to your table. This made for a quite annoying dinner. Unable to take portions you would like as well as enjoy a decent conversation with waiters constantly approaching your table. Staff were very nice, but this was a waste.",2," August 18, 2020"
66,"Absolutely delicious. A little odd, under the no buffet bar protocols, but it worked. Great service. Prob a bit overpriced in comparison to some equally good, less fancy churrascarías in town.",4," August 18, 2020"
67,We had a great time . Service was excellent.,5," August 15, 2020"
68,"Everyone knows what Fogo offers, so no need to go into the actual food or ingredients.<br/><br/>But, in this COVID era, my family and I felt totally safe.  Every precaution was taken.  Cleanliness was evident throughout the establishment, and the experience was very similar and maybe even more personable.<br/><br/>I would not hesitate to recommend you visiting Fogo during this time.",5," August 15, 2020"
69,"As always, Jonathan and Paulo were amazing- we got to meet the manager Chantelle (??? I think!?) and our waitress was a young blonde who was also amazing and I’m kicking myself for not getting her name! But please give this amazing staff the props they deserve! I’m sure we will see you VERY soon!",5," August 12, 2020"
70,COVID hit the away Fogo de chao serve they food. Service is always great. I think the rugs smell a little be.  I high recommend Fogo de Chao.,5," August 12, 2020"
71,Very hospitable and amazing food!,5," August 9, 2020"
72,Thought we were going to have a fabulous experience but did not!the servers were gushing over another table as if to believe they were someone special by constantly serving them and cleaning their table. They stuff you on the salad and side bar items then we only saw chicken wrapped in bacon and sausage. Had to ask for meat too many times and was forgotten by wait staff. Had to literally beg for the beef and waited for the grilled bananas we never received. The man in the beige suit played stupid to our concerns yet the woman manager was very nice and took one meal off our bill. I do not recommend this place at all. Too expensive and not worth the value.,1," August 8, 2020"
73,Jonathan the gaucho and Paulo are our favorites and treat us like royalty! We go here a lot and they always take amazing care of us! The whole staff is second to none!,5," August 7, 2020"
74,The quality of the meat was good. However the buffet bar is not open during Covid which is understandable but the price remains the same. Hard to justify charging the same price by offering a reduced experience. Wish I had been told about this before booking.,3," August 6, 2020"
75,Great dinner!!! All steak lovers welcome!! It was a 10/10,5," August 4, 2020"
76,Fantastic food - large variety of meats. Covid friendly bringing the salad bar to you.,5," July 25, 2020"
77,"Unfortunately it felt rushed. Once we sat down and our server came to our table, the food service started and they came continuously. It seemed almost impossible to enjoy some food before they were offering more to us at the table. It would have been more enjoyable if they slowed down and provided a little break in between food offerings.",4," July 25, 2020"
78,"Such a great birthday dinner, everyone was great and the food was amazing",5," July 19, 2020"
79,They should let you take what’s left on plate ands stop bringing so much food,2," July 19, 2020"
80,"During quarantine, the restaurant is open but the 'market table' is closed rendering the whole experience quite poor value.",2," July 18, 2020"
81,"Great food and service, I will definitely dine again",5," July 13, 2020"
82,It was so easy to make a reservation.  <br/><br/>When dinner started I had to say it was insanely amazing. The staff taking care of the food were so attentive. I felt spoiled. The food was delicious and considering it was our first time it was a great experience!<br/><br/>They have valet service saves the aggravation of looking for parking.<br/><br/> I highly recommend it you haven’t been here,5," July 11, 2020"
83,Great food and great service! Food was coming to the table every other minute! Can’t wait to go again!,5," July 11, 2020"
84,Excellent!!!,5," July 11, 2020"
85,"Fogo does a fantastic job every time we go there. During this most recent trip, the staff had implemented a number of new safety measures and social distancing precautions due to COVID-19.<br/><br/>Despite the restrictions, the servers still put on an incredible service and made us feel safe and welcome. As always, the food and drink were second-to-none, and the value for the meal is definitely there. <br/><br/>For anyone looking to enjoy a relaxed meal out, even during these crazy times we are living in, I would recommend Fogo 100%",5," July 7, 2020"
86,Our favorite Brazilian Steakhouse has been closed. With a trip to Boston we took an opportunity to try Fogo de Chao and we were extremely pleased! The staff were great! The food was great! Looking forward to our next visit!,5," July 6, 2020"
87,I loved it! It was my first time there and it was amazing!,5," July 3, 2020"
88,An amazing experience.  The waiters were knowledgeable and really on top of service.  The food was some of the best I've had in Boston,5," June 26, 2020"
89,The first night they reopened and the staff are doing their best to adapt. Everyone was very attentive and the food was of the same quality.,5," June 26, 2020"
90,Great service and unbelievably good food,5," March 14, 2020"
91,Went during restaurant week. The meat selection is unbeatable. The servers are busy but still trying to be attentive. I like the dessert menu too.,5," March 12, 2020"
92,"Fogo is always a good bang for your buck, but Restaurant Week is an extra savings. For only $38, they serve you the whole menu of meat (minus a few specialty cuts), plus the salad/cheese bar and hot sides like pao de queijo, plantains, polenta fries, and mashed potatoes. You also get a half serving of dessert! The food is always so tasty and service is always fast. One thing to note is that the “brigadeiro” is actually a chocolate mouse/gelatin cake and not traditional brigadeiro. Slightly disappointing. Overall I had a great time and enjoyed introducing my BF to the magic that is Brazilian steakhouses i.e. unlimited steak, pork, and chicken served table side from a sword.",4," March 11, 2020"
93,"Everything was amazing about the experience except for the hostess who was extremely unprofessional to my friend about the high chair/child situation. We had mentioned that our reservation changed to add a child and she disregarded the information at the host stand when we told her and proceeded to bring us to the table which 6 chairs were. When we informed her that we needed a high chair she said "" for who?"" and we stated we had a child with us and she then responded with ""oh she's tall enough she'll be fine"". My friend at that point told her that she would still like a high chair so the child could be more restricted and not run around while we had dinner and then the hostesses still at this time didn't listen to anything and try to take a chair away in which we had to explain to her again that we needed the 6 chairs but just simply wanted a high chair for the child. Besides the unprofessional hostess, the food was amazing, the service was very good and we enjoyed our time. However, the beginning was a little upsetting because of the hostess.",4," March 10, 2020"
94,"Even with Reservation there was about a 10min wait, due to it being restaurant week I believe. Servers and management were polite, food came around every couple minutes. The lamb or fillet didn’t come around as often.",4," March 8, 2020"
95,We had a fantastic time.  Delicious food. Great services.,5," March 8, 2020"
96,"Food was very good as always.  We didn't see much of our waitperson, and if we weren't paying attention we worked have been significantly overcharged but that was remedied.",4," March 8, 2020"
97,The food was amazing my husband couldn't start raving about the food,4," March 7, 2020"
98,"Didn’t enjoy last nights dinner; it felt filthy and rushed; every time the servers were coming by with meats and their knives we were scared to get hurt; food was so so , salad bar was lacking food; drinks it good and over priced <br/>Not sure I will return in a long time",3," March 7, 2020"
99,The food was delectable. Cooked to perfection. Plenty of waitstaff available at anytime. The ambiance was appealing and the noise level was low. Plenty of room between tables. Overall wonderful experience!,5," March 7, 2020"
100,Horrible experience. They didn’t care about serving us. They only got our drinks order in the beginning. We had to hunt our server down to order our meal. And waited 1hour and 30 min to then realize they were never going to bring our order. Never came by again to refill our drinks or anything. Will never return and I highly do not recommend this location.,1," March 6, 2020"
101,"Food was good. Had not been before, and the style of service was a bit confusing. Was fairly busy, server explained extremely quickly and left. Took a while to get the check.",3," March 6, 2020"
102,food was good not as great as before could be because the place was packed.  We have to wait 25 min. even with a reservation.,4," March 6, 2020"
103,Wait time was almost 30 minutes beyond our reservation time.,3," March 6, 2020"
104,"Everything was wonderful. The food was delicious, the staff were amazing. We had a great time. Would definitely go back.",5," March 5, 2020"
105,"Unfortunately we unknowingly went during restaurant week and were treated as such. This was the second time going first time was fantastic, this time not so much. Staff seemed annoyed as if we were not going to tip well. We were a table of four and were not anticipating a discounted venue when arriving",3," March 3, 2020"
106,"Went during restaurant week which lets you dine from the full menu (with some minor exceptions) for almost half the regular price including dessert, making for a great value. As always the food here is great and the service outstanding. Eat as much as you’d like from the wonderful market table, and receive continuous table-side service of sides and meats. One of my favorite spots in Boston!",5," March 3, 2020"
107,"Reserved a table but Waited for 30 min. Need to remind the waiter our cocktails and expresso that we ordered. Disappointed of the service, Too many people, noisy but at least, food was good.",3," March 1, 2020"
108,Meat is overdone. service is slow and tables are too close.,1," March 1, 2020"
109,"Disappointing brunch. All I saw was a omelet station and ready waffles. <br/>Although the meat is Brazilian style, every other selection is not Brazilian. Their cheese rolls are not the Brazilian way either. <br/>Overall, the value is not there.",3," March 1, 2020"
110,"We have been going to Fogo for years; this was our last meal at this restaurant. The service was awful; we were ignored throughout the entire meal; and, the food was overcooked. I am upset that we had such a bad experience because we always look forward to eating here. No one even mentioned that this was our anniversary...",1," February 29, 2020"
111,"Took 20 minutes to be seated. Food was great- wish that we knew all the options that were coming- some we got twice and some new ones turned up just as we were feeling full but those were some of our favorites, just wish we had had more room for them. Servers were very attentive with sides and clean plates.",4," February 29, 2020"
112,"Food is great but service was a little slow when trying to get drinks, dessert and check",3," February 29, 2020"
113,I had higher expectation coming from previous visits to this restaurant.  The food was downgraded (not a lot of options as before) and the meat tasted like rubber. The service was extremely bad as far as the people who I interacted with.  Gentlemen who worked there were nice. Will I come back? No way!!,1," February 29, 2020"
114,"Such a different experience from prior visits. The staff was inattentive and indifferent. There was a napkin on the floor as well as scraps of bread, lettuce and other food on the floor around our table when we were seated. At those prices, there should be ample staff making sure service and cleanliness are not overlooked. I will not return.",2," February 22, 2020"
115,Food was delicious! We enjoyed the many meat options that float around for table service as well as the bread.,5," February 22, 2020"
116,We've been to Fogo de Chao many times but this location seems to be a bit skimpy with their meats.  There were several times when we sat around waiting  and waiting and waiting for someone to bring out some meats.  The restaurant was not that busy and they had plenty of servers but did not want to accommodate customers.  Not sure what happened but we had to ask for them to bring out some meats for everyone.  What a pity!!!!  Poor management?,2," February 22, 2020"
117,Enjoyed a lovely dinner to celebrate our 6 year dating anniversary. Food was wonderful and service was attentive. Parking in the area is limited but they do have valet.,5," February 21, 2020"
118,"Amazing selection of food, although a bit pricey.",4," February 21, 2020"
119,"The service team was excellent, as usual. On this occasion, we were primarily taken care of by Miguel, who really provided superb service. <br/>Thank you so much.",5," February 21, 2020"
120,"Great food.... Super service.... Awesome place....the steak and chicken was out of this world. Fabulous meal!  Also, the staff mafe a birthday celebration very special.",5," February 20, 2020"
121,"Food wasn’t the best, neither was the service.",3," February 19, 2020"
122,"On Wednesday February 19th, 2020, we had a magnificent and extraordinary dining experience and 60th Birthday Celebration for our friend Matt at the Fogo De Chao-Boston-MA restaurant.<br/> <br/>When I arrived at the restaurant, I was greeted by our hostess Jessica, who addressed me by my full name. I was so impressed by her warm welcome and hospitality which made me feel like she knew me and that I was family.<br/> <br/>Jessica presented our group with the best table in the restaurant complete with a breathtaking and gorgeous view of downtown Boston!<br/> <br/>Jessica and her team of servers worked diligently throughout the evening and provided us with outstanding customer service along with a meal that was excellent, delicious, and grilled to perfection!<br/> <br/>To top it off, Jessica surprised us with a creative, wonderful, and yummy cake and ice cream dessert for Matt’s Birthday!<br/> <br/>We were treated like royalty and would like to send our sincerest thank you to Jessica and her team for going all out to make our time and stay at the Fogo De Chao-Boston-MA restaurant enjoyable, memorable, and special!",5," February 19, 2020"
123,Food was excellent and the staff was as well but very expensive,5," February 18, 2020"
124,Came to celebrate my wife getting accepted into the college program she wanted,5," February 18, 2020"
125,"This was our first time at Fogo’s. The food was excellent, service was great and the overall experience was incredible. We are looking forward to eating at Fogo’s again.",5," February 16, 2020"
126,Great food and atmosphere. It was  a good place for a Valentine's Dinner Date,5," February 16, 2020"
127,"Food is always great but the service is lacking. We got inundated with meat options when we first sat but when we decided to take a break, it stopped coming. We waited a while and even asked but still did not get any grill service after that. We were also supposed to get valentines coupons for each couple (we were 3 couples) but did not get any. They will apparently mail them to us, which resulted from me calling the restaurant and explaining the situation. We also had some deals emailed to us that we tried to ask about when paying and were rudely told that we should have asked before sitting down, which we did not know and even so did not need to be scolded for just because we asked. Overall, bad service, very busy, great food though.",3," February 15, 2020"
128,Food was mediocre for price and the dining experience was more like a cruise ship buffet.,2," February 15, 2020"
129,Great service and unreal story. Five $20 bills dropped out of my pocket during dinner. I didn’t realize I had lost the money until after we left the restaurant. I called about 20 minutes after we left to ask if anyone had turned in money. Unfortunately nobody had. About 30 minutes later my phone rang and they told me the money was found by a restaurant employee.<br/><br/>So many great people in this world.<br/><br/>Great end to a great night.,5," February 15, 2020"
130,"Busy valentine's  day dinner. I've had a better experience here. 2 of the meats were severely overcooked and dry (parm crusted pork was 1, cant remember the other). The food on the bar was great, it looked and tastes fresh. The cocktails were good as well. We didnt require much but felt I shouldn't have to ask for more sides when ours was gone.  We will give it another shot soon and use the b1g1 coupon they handed to diners over this weekend.",3," February 14, 2020"
131,The food and atmosphere were great but on Valentine’s Day it was so busy the service wasn’t that great,5," February 14, 2020"
132,"Raw meat, not enough choices. The salad bar was boring and bland.",2," February 14, 2020"
133,Valentine's day,5," February 14, 2020"
134,Food is dry and overrated,1," February 14, 2020"
135,"They filled the floor with tables to maximize profit on Valentine's Day. It created what I am sure was fire code violation. We finally got the lamb chops to come our way and they were overcooked. Nice for a visit, but they did little to entice us to return",3," February 14, 2020"
136,"My now favorite restaurant! Food was fantastic, well cooked.",5," February 14, 2020"
137,"I came with my sister and boyfriend and we all loved the meal! When our cards were flipped to green, we got meat almost immediately. The service was great and the food was delicious. We’re definitely coming back!",5," February 12, 2020"
138,"The lunch menu must be the best value for excellent food in Boston. They have a magnificent, help yourself buffet and an endless supply of grilled meats. I usually select the buffet plus one meat, fantastic value",5," February 12, 2020"
139,"This was just an okay experience.  The food was good but not great.  The meat was just okay and much of it was overcooked.  We liked the bacon wrapped chicken the best but the picanha, sirloin, filet mignon were not very flavorful.  the sides buffet was fine. Many choices and it was okay but nothing memorable.  the dessert - tres leches cake- was way too sweet and the dulce de leche sauce on top was too much.  The service was prompt. It feels like a hotel restaurant.  For the price, it was not worth it.",3," February 9, 2020"
140,"Service was terrible, wanted to order a simple ginger ale, the staff proceeded to explain they had ginger in a can ... they had no idea what ginger ale was! Then they charged us for bottle water at 7.50 each ...won’t be back",1," February 9, 2020"
141,"Great food, great service, a little slower than usual with the meat selections But not necessarily a bad thing.",4," February 9, 2020"
142,"Waiter was super rushed, didn’t seem like a good experience. <br/><br/>Food was ok but the moneys worth.",5," February 9, 2020"
143,Service was spotty - not up to par for a steakhouse. Amazing salad bar but overly salty meats. Meats also came  our very slowly.,4," February 9, 2020"
144,This was the first time I had been here for their lunch option. We decided to upgrade and have 1 meat option per person. It was MORE than enough food for a lunch during the work day. The service was excellent as always. The food was top notch. I’ll definitely be creating excuses in the future to return for lunch!,5," February 5, 2020"
145,Best experience ever!! Took my aunt for bday celebration and everyone there went above and beyond with the service.<br/>And the food was extraordinary!,5," February 2, 2020"
146,"Service was bad and the price was way too expensive for the food served. We did not even receive what we asked for and we were charged as if we were. Great environment but overpriced, at least my experience.",3," February 1, 2020"
147,Lisa who was our waitress was soo friendly and a great person! I enjoyed the setting and the staff made it even better,5," February 1, 2020"
148,Great Experience   We had the best waitresses. Definitely will return.,4," February 1, 2020"
149,They remember my special occasion and surprised the both of us and comped the special dessert! Great job!,5," February 1, 2020"
150,"Fantastic, filling, and delicious!",5," February 1, 2020"
151,"This restaurant did not quite measure up to other Brazilian steak house experiences.  The service was not good.  We had to ask for another glass of water.  We had to ask to order wine.  Dirty plates were not removed so we went to the salad bar to get clean ones.  Part of our group jumped right in to having meat served, and that was done promptly and repeatedly.  When the rest of us were ready for meat, the servers were not exactly prompt.  Maybe servers were out sick.   The salad bar was lovely, but not spectacular like others I've encountered.  It's a nice restaurant, don't get me wrong, but the service marred the experience.  I will not be in a hurry to return.",3," February 1, 2020"
152,"When my family in town this has always been one of our favorite places to eat. No complaints about the food still, but service was rather poor. Considering that place was almost empty by the time we came in waiting for water or mashed potatoes for extended periods of time just is not right. I thought you bill yourself as premium restaurant. Service in a need of major improvements.",3," January 30, 2020"
153,Asked for the Ribeye probably ten times but never got but the garlic sirloin was delicious!,3," January 29, 2020"
154,"Great food and choices, orice is high",5," January 26, 2020"
155,Waiter was very inattentive couldn’t remember what we ordered.,4," January 25, 2020"
156,"Not enough variety ar salad bar, wish there couldve Ben more optuons. Staff was nice and friendly. Food was not really my tate, mostaza of the jeans where more fat than meat.",3," January 25, 2020"
157,Fun dinner for my birthday,4," January 25, 2020"
158,"We felt rushed from the second we got there and it wasn't busy at all. We had five different waiters come to our table at a time. The food was good but there was no variety, the same kinds of meats kept coming out.  It was way too expensive for the experience we had.",2," January 25, 2020"
159,Great food! The food bar is fantastic and you could make a whole meal of just that. Add the meats and you will be more than sated. The papaya dessert was so good! And you can get just the food bar for $15 at lunchtime. Can’t beat it!,5," January 23, 2020"
160,Wonderful food and service,5," January 20, 2020"
161,Awesome restaurant!  Most of the meats are cooked to perfection!  Will go back soon!,5," January 20, 2020"
162,2 weeks ago I dined at the FG in Sao Paulo.  Great to see consistency in quality food and service in both countries!  Will return no matter which city I am in.,5," January 19, 2020"
163,"Great food, top line service fantastic birthday dinner for my son",5," January 19, 2020"
164,"This is the first time I was disappointed with the service, had to keep waiting for the servers to come by with the meats! At one point they walked right by our table at least three times before someone stopped and asked if I’d like some picahna! Overall was very disappointed",2," January 19, 2020"
165,"Was really disappointed. For the money I would rather go to Ruth Chris. Service was terrible, food was ok but not great.",2," January 18, 2020"
166,Poor selection of meats. Very basic. The restaurant was freezing cold. Felt like they kept the door open during a -10 night. The service was very good and I appreciated the manager coming to our table to check on us. I wouldn't go back if I had the choice.,3," January 18, 2020"
167,Was good except a table wasn’t ready at time of reservation.,4," January 17, 2020"
168,Wonderful... prepare to be full!  Everything was perfectly cooked,5," January 17, 2020"
169,"Group of 6, great food and service. 1st class",5," January 17, 2020"
170,I expected more. it says different types of meats. We only had like 7. I made sure I was right! after talking about it with my friends they thought the same.,4," January 16, 2020"
